Values
10766, 
13484, 
13516, 
11753, 
11798, 
11941, 
11891, 
12081, 
11799, 
11719, 
12105, 
11879, 
11953, 
13337, 
12200, 
12122, 
12041, 
11982, 
12047, 
12041, 
12208, 
12154, 
12162, 
12640, 
12270, 
12392, 
12650, 
12532, 
12758, 
12665, 
12585, 
13057, 
12998, 
13318, 
13726, 
13894, 
14165, 
14842, 
15562, 
16637, 
18451, 
22511, 
25147, 
31934, 
41494, 
56615, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
65535, 
55607, 
46804, 
39559, 
33156, 
28687, 
24891, 
22114, 
20384, 
18166, 
17201, 
15748, 
14920, 
14490, 
13657, 
13149, 
12826, 
12396, 
12468, 
11957, 
13257, 
12015, 
11449, 
11633, 
11677, 
11417, 
11500, 
11445, 
11219, 
11451, 
11120, 
11117, 
11248, 
11087, 
11336, 
11111, 
11081, 
11033, 
10966, 
10980, 
11147, 
10890, 
11019, 
10870, 
10978, 
10935, 
10714, 
10772, 
12427, 
10887, 
10889, 
10698, 
10565, 
10990, 
10912, 
10716, 
10887, 
10659, 
10927, 
10900, 
10757, 
10829, 
10810, 
10863, 
10833, 
10695, 
10766, 
10799, 
10733, 
10903, 
10609, 
10699, 
10893, 
10555, 
10891, 
10753, 
11987, 
10924, 
10809, 
10853, 
10765, 
10718, 
10783, 
10746, 
10725, 
10731, 
10626, 
10765, 
10761, 
10522, 
10642, 
10710, 
10569, 
10826, 
10747, 
10657, 
10530, 
10545, 
10615, 
10553, 
10670, 
10782, 
10666, 
10655, 
12065, 
10725, 
10884, 
10468, 
10809, 
10776, 
10652, 
10621, 
10840, 
10657, 
10771, 
10715, 
10602, 
10860, 
10613, 
10634, 
10686, 
10575, 
10729, 
10648, 
10569, 
10863, 
10451, 
10618, 
10750, 
10513, 
10738, 
10570, 
11853, 
10841, 
10694, 
10741, 
10762, 
10555, 
10657, 
10526, 
10558, 
10726, 
10709, 
10598, 
10649, 
10511, 
10688, 
10629, 
10502, 
10758, 
10636, 
10522, 
10707, 
10528, 
10629, 
10683, 
10662, 
10868, 
10682, 
10504, 
11945, 
10658, 
10917, 
10610, 
10553, 
10841, 
10564, 
10590, 
10861, 
10533, 
10842, 
10798, 
10613, 
10722, 
10661, 
10714, 
10890, 
10676, 
10854, 
10622, 
10439, 
10668, 
10579, 
10595, 
10690, 
10427, 
10599, 
10636, 
11780, 
10892, 
10741, 
10718, 
10823, 
10642, 
10756, 
10746, 
10524, 
10853, 
10576, 
10762, 
10818, 
10603, 
10751, 
10757, 
10596, 
10854, 
10743, 
10734, 
10692, 
10531, 
10846, 
0, 
