Values
10723, 
13284, 
13293, 
65535, 
65535, 
65535, 
65535, 
60526, 
54351, 
48339, 
44325, 
40602, 
38982, 
37417, 
36642, 
36088, 
35970, 
35822, 
36013, 
34982, 
34246, 
33002, 
31656, 
30673, 
28756, 
27911, 
27158, 
26654, 
26349, 
26413, 
26025, 
27354, 
27554, 
28372, 
28716, 
28699, 
29681, 
29529, 
29677, 
29208, 
29140, 
28427, 
28179, 
27688, 
26943, 
26151, 
25559, 
25027, 
24584, 
23912, 
23825, 
23172, 
23064, 
23129, 
22862, 
23301, 
23572, 
23295, 
23500, 
23024, 
22912, 
23027, 
22911, 
23503, 
23979, 
25010, 
27322, 
30795, 
34561, 
32699, 
30936, 
31240, 
29319, 
27272, 
27481, 
27128, 
27294, 
27738, 
27814, 
28394, 
27424, 
25984, 
25549, 
25181, 
25944, 
27176, 
29005, 
31915, 
34494, 
37201, 
38961, 
35254, 
25011, 
22835, 
23718, 
24782, 
25294, 
25535, 
25599, 
25189, 
25122, 
24901, 
24282, 
24082, 
23325, 
22908, 
22536, 
22060, 
21721, 
21314, 
21129, 
21262, 
21039, 
20683, 
20679, 
20645, 
20292, 
20324, 
20107, 
20171, 
19756, 
19931, 
19548, 
19120, 
19036, 
19009, 
18468, 
18643, 
18220, 
18180, 
18327, 
18139, 
17496, 
17405, 
17183, 
17182, 
16759, 
16441, 
16441, 
15993, 
16007, 
15674, 
15384, 
15307, 
15112, 
14796, 
14663, 
14170, 
14233, 
14105, 
13820, 
13881, 
13613, 
13572, 
13279, 
13156, 
13159, 
13109, 
12873, 
12963, 
12792, 
12531, 
12697, 
12347, 
12378, 
12300, 
12057, 
11981, 
11995, 
11908, 
12036, 
11947, 
11706, 
11743, 
11651, 
11598, 
11486, 
11450, 
11647, 
11390, 
11422, 
11529, 
11131, 
11356, 
11120, 
11299, 
11263, 
11200, 
11150, 
11353, 
11185, 
11304, 
11155, 
11062, 
11218, 
10922, 
10966, 
11085, 
10833, 
11009, 
10964, 
10830, 
11051, 
10672, 
10791, 
10875, 
10718, 
10899, 
10848, 
10886, 
10826, 
10709, 
10826, 
10844, 
10662, 
10877, 
10864, 
10819, 
10910, 
10926, 
10710, 
10757, 
10618, 
10711, 
10715, 
10646, 
10793, 
10640, 
10662, 
10861, 
10582, 
10628, 
10858, 
10648, 
10747, 
10601, 
10614, 
10688, 
10435, 
10855, 
10582, 
10519, 
10780, 
10582, 
10695, 
10921, 
10609, 
10856, 
10707, 
10574, 
10711, 
10653, 
10598, 
10821, 
10622, 
10763, 
10591, 
10518, 
10607, 
10617, 
10490, 
10634, 
10524, 
10565, 
10636, 
10503, 
10667, 
10505, 
10628, 
10844, 
10666, 
10811, 
10729, 
10536, 
10823, 
10557, 
10574, 
10694, 
10602, 
10622, 
10650, 
10408, 
10709, 
10660, 
10595, 
10651, 
10442, 
10710, 
0, 
